1,2,1
1,7,1
1,9,2
1,14,1
1,21,2
1,26,1
1,40,3
1,43,1
1,46,1
2,7,2
2,13,1
2,17,2
2,22,1
2,23,1
2,37,1
2,40,4
2,42,1
2,43,27
2,48,1
4,19,2
4,20,1
4,25,2
4,27,5
4,30,1
5,39,1
5,42,1
6,9,1
6,13,1
6,20,1
6,23,1
6,26,2
6,28,1
6,36,1
6,40,1
6,42,2
7,9,1
7,26,5
7,37,1
7,40,21
7,43,1
9,13,1
9,20,1
9,22,1
9,24,2
9,26,4
9,36,1
9,42,1
10,24,4
11,14,1
11,23,2
11,25,1
11,46,1
12,15,5
12,25,3
12,30,1
12,35,1
12,39,1
13,17,10
13,23,1
13,26,2
13,28,2
13,35,1
13,42,1
13,43,1
13,46,1
13,48,2
14,20,8
14,21,8
14,31,5
14,32,4
14,36,1
14,42,1
14,44,1
14,46,7
14,48,5
15,19,1
15,25,8
15,27,2
15,30,1
15,35,1
15,45,2
17,28,4
17,43,2
17,48,1
19,20,1
19,25,1
19,26,1
19,27,2
19,28,1
19,30,1
19,35,1
19,38,1
19,42,2
19,48,1
20,21,7
20,25,1
20,26,1
20,27,1
20,30,2
20,31,3
20,32,3
20,35,1
20,36,2
20,42,1
20,44,2
20,45,1
20,46,4
20,48,1
21,31,5
21,32,2
21,44,1
21,46,3
21,48,1
22,26,1
22,40,1
22,42,2
22,43,2
23,28,1
23,48,3
24,40,1
24,42,1
25,27,1
25,30,2
25,35,1
25,39,1
26,28,1
26,30,2
26,35,1
26,36,1
26,38,1
26,40,5
26,42,4
27,30,2
27,38,1
27,45,2
28,38,1
28,42,1
28,48,1
30,39,2
30,45,1
31,32,3
31,35,1
31,42,2
31,46,4
31,48,2
32,44,1
32,46,3
35,36,1
35,42,1
35,45,1
35,46,1
35,48,1
36,42,1
36,44,1
36,48,1
37,43,1
38,42,1
38,45,1
40,43,6
42,43,1
42,48,6
44,48,3
