17,55,1
17,63,2
17,89,1
17,146,5
17,168,2
17,179,1
17,279,1
17,286,1
17,290,1
17,322,4
17,377,4
17,393,3
17,396,3
20,89,1
20,109,1
20,146,2
20,165,1
20,168,1
20,178,1
20,179,2
20,286,1
20,322,2
20,398,1
41,58,1
41,89,1
41,109,4
41,119,1
41,146,4
41,167,3
41,286,2
41,289,4
41,290,1
41,312,1
41,322,2
41,337,2
41,338,2
41,354,1
41,396,1
55,58,1
55,63,1
55,146,1
55,292,2
55,322,1
55,377,1
55,393,1
55,396,1
58,109,1
58,146,1
58,276,1
58,286,1
58,289,1
58,292,1
58,354,1
63,109,1
63,146,3
63,168,1
63,179,1
63,276,1
63,292,1
63,322,2
63,354,1
63,377,1
63,393,1
63,396,2
89,109,1
89,146,3
89,167,1
89,168,1
89,276,1
89,279,2
89,286,1
89,322,6
89,338,2
89,393,1
89,396,2
89,398,1
109,119,1
109,146,8
109,165,1
109,167,1
109,179,1
109,286,3
109,289,5
109,292,2
109,312,1
109,322,4
109,337,2
109,338,3
109,354,2
109,398,1
119,146,1
119,167,2
119,289,1
119,292,2
119,322,2
146,165,2
146,167,3
146,168,3
146,178,1
146,179,3
146,276,2
146,279,2
146,286,4
146,289,6
146,290,1
146,312,3
146,322,11
146,337,1
146,338,4
146,354,2
146,377,3
146,393,4
146,396,5
146,398,1
165,168,1
165,178,2
165,179,2
165,286,1
165,322,1
165,398,1
167,178,1
167,179,1
167,279,2
167,289,2
167,292,2
167,312,1
167,322,3
167,337,1
167,338,2
167,396,1
168,178,3
168,179,2
168,276,1
168,279,2
168,286,1
168,292,1
168,322,2
168,338,1
168,377,1
168,393,1
168,396,1
168,398,1
178,179,3
178,279,1
178,286,1
178,292,2
178,322,1
178,398,1
179,279,1
179,286,1
179,292,1
179,322,1
276,279,1
276,322,2
276,338,1
276,354,1
276,396,1
279,286,1
279,289,1
279,292,1
279,312,1
279,322,2
279,338,2
279,377,1
279,393,1
279,396,1
286,289,2
286,322,4
286,337,1
286,338,1
286,377,1
289,290,1
289,292,1
289,312,3
289,322,2
289,338,2
289,354,1
289,393,1
290,322,1
290,377,1
292,322,1
292,354,1
312,338,2
312,354,1
312,393,1
322,337,1
322,338,3
322,377,3
322,393,2
322,396,4
322,398,1
337,338,3
338,393,1
377,393,2
377,396,2
393,396,3
